"Kennzeichen","","","Typ","Condition","","","","","","","","","","","","","C-Check Date","C-Check Price"
"D-ABIA","LFLB","EDDH","* L/F * Boeing 727-200","99,77","Nein","Nein","Nein","MPL","21.440.866 €","189","114","20","2","1 Tag","1.550 €","0 €","03.2023","3.600.000 €"
"D-ADGB","ENAL","EDDH","* L/F * McDonnell Douglas MD-82/MD-88","99,02","Nein","Nein","Nein","MPL","6.118.637 €","172","168","0","1","1 Stunden","1.450 €","0 €","03.2023","2.000.000 €"
"D-ABED","LXGB","EDDH","* L/F * Boeing 737-600","98,12","Nein","Nein *","Nein","MPL","31.084.927 €","148","101","12","1","1 Stunden","1.700 €","0 €","01.2023","3.420.000 €"
"D-ALSA","EDLP","EDDH","* L/F * Lockheed L-049 Constellation ","99,59","Nein","Nein","Nein","MPL","971.977 €","81","81","0","4","1 Stunden","1.000 €","0 €","03.2023","456.000 €"
"D-ACKB","EDDH","EDLP","* L/F * Bombardier CRJ900 ER","97,76","Nein","Nein","Nein","MPL","21.391.408 €","90","90","0","1","1 Stunden","1.000 €","0 €","01.2023","2.238.000 €"
"D-ACKA","LGKR","EHAM","* L/F * Bombardier CRJ700 ER","99,01","Nein","Nein *","Nein","MPL","17.283.355 €","78","78","0","1","1 Stunden","800 €","0 €","01.2023","1.788.480 €"
"D-AIXA","EDDH","EDDH","* L/F * Airbus A350-900","97,23","Nein","Nein *","Nein","ATPL","161.560.856 €","440","325","0","1","1 Stunden","7.000 €","0 €","01.2023","16.534.382 €"
"D-AICB","LTBJ","EHRD","* L/F * Airbus A320ceo","98,96","Ja","Nein *","Nein","MPL","50.712.293 €","180","148","12","1","1 Stunden","2.200 €","0 €","01.2023","5.261.413 €"
"D-AINB","LGKR","EDDF","* L/F * Airbus A320neo","97,30","Ja","Nein *","Nein","MPL","41.379.000 €","174","174","0","1","1 Stunden","2.550 €","0 €","01.2023","6.366.000 €"
"D-ADDA","LYTV","EDDH","* L/F * Douglas DC-6B","97,66","Ja","Nein","Nein","MPL","5.000.000 €","102","102","0","2","1 Stunden","250 €","0 €","01.2023","684.267 €"
"D-ADDB","LFBZ","EDDH","* L/F * Douglas DC-6B","98,19","Ja","Nein","Nein","MPL","5.000.000 €","102","102","0","2","1 Stunden","250 €","0 €","01.2023","684.267 €"
"D-ACON","EDDH","EDDH","BAE Concorde","97,95","Nein","Nein","Nein","ATPL","67.375.246 €","101","100","0","3","2 Stunden","4.700 €","0 €","02.2023","8.433.822 €"
"D-AVRA","EGLC","EDLP","* L/F * BAe 146-100 Businessjet (ABJ70)","96,78","Nein","Nein *","Nein","MPL","14.325.014 €","82","0","46","1","1 Stunden","850 €","0 €","01.2023","1.800.000 €"
"D-ABPB","EDDH","EDDH","* L/F * Boeing 787-10","100,00","Ja","Nein *","Nein","ATPL","180.074.221 €","338","301","36","1","1 Stunden","8.600 €","0 €","01.2023","18.366.000 €"
"D-ABYC","LEPA","EDDH","* L/F * Boeing 747-200","96,43","Ja","Nein *","Nein","ATPL","97.076.434 €","539","388","32","3","1 Stunden","9.300 €","0 €","01.2023","14.300.000 €"
"D-AIXB","LPMA","EDDH","* L/F * Airbus A300-600R","99,69","Nein","Nein *","Nein","MPL","46.008.204 €","345","345","0","2","1 Stunden","9.750 €","0 €","02.2023","6.631.351 €"
"D-AICA","EETN","EDDH","Airbus A320ceo","99,45","Ja","Nein *","Nein","MPL","52.614.132 €","180","148","12","1","1 Stunden","2.100 €","0 €","01.2023","5.261.413 €"
